| Title                                                                                          | Authors                                                                                   | Publication Year | Publication Venue                | URL                                     | Notes                             |
|------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------|------------------|----------------------------------|-----------------------------------------|-----------------------------------|
| Bacterial laccase: recent update on production, properties and industrial applications          | P.S. Chauhan, B. Goradia, A. Saxena                                                        | 2017             | 3 Biotech                         | https://doi.org/10.1007/s13205-017-0955-7  |                                   |
| Microbial laccase: a robust enzyme and its industrial applications                             | D. Singh, N. Gupta                                                                         | 2020             | Biologia                          | https://doi.org/10.2478/s11756-019-00414-9 |                                   |
| Eminent industrial and biotechnological applications from bacterial source: a current overview | F. Akram, S. Ashraf, I.U. Haq, F.I. Shah, A. Akeel                                        | 2022             | App. Biochem. Biotechnol.        | https://doi.org/10.1007/s12010-021-03781-9 |                                   |
| Structural properties, genome distribution of laccases from Streptomyces and their applications | R. Kaur, R. Salwan, V. Sharma                                                              | 2022             | Process Biochem.                 | https://doi.org/10.1016/j.procbio.2022.04.015 |                                   |
| Current research progress on laccase-like nanomaterials                                        | L. Lei, X. Yang, Y. Song, H. Huang, Y. Li                                                | 2022             | New J. Chem.                     | https://doi.org/10.1039/D1NJ05658A        |                                   |
| Laccases as green and versatile biocatalysts: from lab to enzyme market - an overview          | T. Brugnari, D.M. Braga, C.S.A. dos Santos, B.H.C. Torres, T.A. Modkovski, C.W.I. Haminiuk, G.M. Maciel | 2021             | Bioresour. Bioprocess.           | https://doi.org/10.1186/s40643-021-00484-1 |                                   |
| Novel Thermophilic bacterial laccase for the degradation of aromatic organic pollutants        | N. Sharma, I.K.H. Leung                                                                   | 2021             | Front. Chem.                     | https://doi.org/10.3389/fchem.2021.711345  |                                   |
| Purification and characterization of an extracellular, thermos-alkali-stable, metal tolerant laccase from Bacillus tequilensis SN4 | S. Sondhi, P. Sharma, S. Saini, N. Puri, N. Gupta                                          | 2014             | PLOS One                         | https://doi.org/10.1371/journal.pone.0096951 |                                   |
| Extracellular, thermostable laccase-like enzymes from Bacillus licheniformis strains: production, purification and characterization | V. Sharma, L.S.B. Upadhyay, D. Vasanth                                                    | 2020             | Appl. Biochem. Microbiol.        | https://doi.org/10.1134/S0003683820040146 |                                   |
| Sustainable production of thermostable laccase from agro-residues waste by Bacillus aquimaris AKRC02 | A. Kumar, A.K. Singh, M. Bilal, R. Chandra                                                | 2022             | Catal. Lett.                     | https://doi.org/10.1007/s10562-021-03753-y  |                                   |
| Cloning and expression of thermo alkali-stable laccase of Bacillus licheniformis in Pichia pastoris and its characterization | L. Lu, T.N. Wang, T.F. Xu, J.Y. Wang, C.L. Wang, M. Zhao                                  | 2013             | Bioresour. Technol.              | https://doi.org/10.1016/j.biortech.2013.02.015 |                                   |
| Pilot scale production of extracellular thermos-alkali-stable laccase from Pseudomonas sp. S2 using agro waste and its application in organophosphorous pesticides degradation | P.S. Chauhan, B. Jha                                                                       | 2018             | J. Chem. Technol. Biotechnol.    | https://doi.org/10.1002/jctb.5454          |                                   |
| Isolation and characterization of an alkali and thermostable laccase from a novel Alcaligenes faecalis and its application in decolorization of synthetic dyes | S. Mehandia, S.C. Sharma, S.K. Arya                                                       | 2020             | Biotechnol. Rep.                 | https://doi.org/10.1016/j.btre.2019.e00413  |                                   |
| Evidence for a halotolerant-alkaline laccase in Streptomyces psammoticus: Purification and characterization | K.N. Niladevi, N. Jacob, P. Prema                                                         | 2008             | Process Biochem.                 | https://doi.org/10.1016/j.procbio.2008.02.002 |                                   |
| Identification and characterization of a new Serratia proteamaculans strain that naturally produces significant amount of extracellular laccase | N.S. Ali, F. Huang, W. Qin, T.C. Yang                                                     | 2022             | Front. Microbiol.                | https://doi.org/10.3389/fmicb.2022.878360   |                                   |
| Genotoxicity evaluation of paper industry wastewater prior and post-treatment with laccase producing Pseudomonas putida MTCC 7525 | I. Haq, A.S. Kalamdhad, A. Pandey                                                         | 2022             | J. Clean. Prod.                  | https://doi.org/10.1016/j.jclepro.2022.130981 |                                   |
| Isolation, purification, and characterization of a laccase-degrading Aflatoxin B1 from Bacillus amyloliquefaciens B10 | D. Xiong, J. Wen, G. Lu, T. Li, M. Long                                                   | 2022             | Toxins                           | https://doi.org/10.3390/toxins14040250     |                                   |
| Production and characterization of a novel thermostable laccase from Bacillus licheniformis VNQ and its application in synthesis of bioactive 1,4-naphthaquinones | V. Sharma, G. Pugazhenthi, D. Vasanth                                                     | 2022             | J. Biosci. Bioeng.               | https://doi.org/10.1016/j.jbiosc.2021.09.008 |                                   |
| Laccase producing bacteria influenced the high decolorization of textile azo dyes with advanced study | J.M. Khaled, S.A. Alyahya, R. Govindan, C.K. Chelliah, M. Maruthupandy, N.S. Alharbi, S. Kadaikunnan, R. Issac, S. Murugan, W.J. Li | 2022             | Environ. Res.                    | https://doi.org/10.1016/j.envres.2021.112211 |                                   |
| Purification and characterization of a temperature and pH-stable laccase from the spores of Bacillus vallismortis fmb-103 and its application in the degradation of malachite green | C. Zhang, S. Zhang, H. Diao, H. Zhao, X. Zhu, F. Lu, Z. Lu                                 | 2013             | J. Agric. Food Chem.             | https://doi.org/10.1021/jf4010498          |                                   |
| Decolourization of synthetic dyes by laccase from Bacillus sp. NU2                                      | C.E. Edoamodu, U.U. Nwodo                                                                  | 2022             | Biotechnol. Biotechnol. Equip.   | https://doi.org/10.1080/13102818.2022.2053341 |                                   |
| Enzymatic clarification of fruit juices (apple, pineapple and tomato) using purified Bacillus pumilus SV-85S xylanase | L. Kumar, S. Nagar, A. Mittal, N. Garg, V.K. Gupta                                        | 2014             | J. Food Sci. Technol.            | https://doi.org/10.1007/s13197-014-1268-z   |                                   |
| Laccases in food industry: current status, bottlenecks and perspectives                              | E. Backes, C.G. Kato, R.C.G. Correa, R.F.P.M. Moreira, R.A. Peralta, L. Barros, I.C.F.R. Ferreira, G.M. Zanin, A. Bracht, R.M. Peralta | 2021             | Trends Food Sci. Technol.        | https://doi.org/10.1016/j.tifs.2021.06.052 |                                   |
| Bioprospecting and biotechnological applications of fungal laccase                                    | P. Upadhyay, R. Srivastava, P.K. Agrawal                                                   | 2016             | 3 Biotech                        | https://doi.org/10.1007/s13205-015-0316-3   |                                   |
| Microbial enzymes and their applications in food industry: A mini-review                             | M.O. Okpara                                                                                | 2022             | Adv. Enzyme Res.                 | https://doi.org/10.4236/aer.2022.101002     |                                   |
| Uses of laccases in food industry                                                                     | J.F. Osma, J.L. Toca-Herrera, S. Rodriguez-Couto                                           | 2010             | Enzyme Res.                      | https://doi.org/10.4061/2010/918761         |                                   |
| Importance of laccase in vegetative growth of Pleurotus florida                                        | N. Das, S. Sengupta, M. Mukherjee                                                          | 1997             | Appl. Environ. Microbiol.        | https://doi.org/10.1128/aem.63.10.4120-4122.1997 |                                   |
| Protein measurement with folin-phenol reagent                                                          | O.H. Lowry, N.J. Rosebrough, A.L. Farr, R.J. Randall                                       | 1951             | J. Biol. Chem.                   | https://doi.org/10.1016/S0021-9258(19)52451-6 |                                   |
