type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
none,Agaricus blazei U2-4,none,2.8 g/L nitrogen,none,28°C,21 days,5.0,43.8 U/mL laccase activity,Highest laccase activity without copper.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-4,none,0.28 g/L nitrogen,none,28°C,21 days,5.0,5.1 U/mL laccase activity,Lowest laccase activity.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-4,none,2.8 g/L nitrogen,none,28°C,21 days,5.0,44.4 U/mL at 150 µM copper,Copper concentration significantly affects laccase activity.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-4,none,2.8 g/L nitrogen,none,28°C,21 days,5.0,Highest biomass production of 1.1 mg/mL,Biomass production inversely proportional to copper concentration.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-1,none,0.5 mM,none,none,21 days,none,7.5 U/mL laccase activity with vanillin,Different compounds exert different effects.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-2,none,1.0 mM,none,none,21 days,none,10.5 U/mL laccase activity with ethanol,Best inducer for this strain.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-3,none,1.0 mM,none,none,21 days,none,15.0 U/mL laccase activity with vanillin,Highest productivity with this inducer.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-4,none,0.5 mM,none,none,21 days,none,28.7 U/mL laccase activity with ethanol,Induces highest laccase activity.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-4,none,1.0 mM,none,none,21 days,none,27.0 U/mL laccase activity with guaiacol,Good inducer for laccase activity.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-4,none,1.0 mM,none,none,21 days,none,24.1 U/mL laccase activity with veratryl alcohol,Induces laccase but may not be optimal.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
none,Agaricus blazei U2-4,none,0.5 mM,none,none,21 days,none,Increase in laccase activity with xylidine,Slight increase in laccase activity.,Induction+of+Laccase+Production+by+T.+pubescens_.txt,,
Methyl Orange,KV10,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,76%,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Methyl Orange,KV12,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,79%,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Rhodamine-B,KV10,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,more than 60%,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Rhodamine-B,KV12,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,more than 60%,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Methyl Orange,KV11,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,considerable high rate,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Methyl Orange,KVA5,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,considerable high rate,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Methyl Orange,AKCH,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,considerable high rate,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Rhodamine-B,KV11,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,considerable high rate,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
Rhodamine-B,KVA5,1 mg/ml,2 fungal discs (8mm diameter),static,28°C,96 hours,5.4,considerable high rate,High laccase production observed,Degradation+of+dyes+by+white+rot+fungi_.txt,,
