type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
not applicable,KONA001,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,AGUM004,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,AGUM007,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,AGUM011,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,AGUM021,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,BANG001,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,TAMI004,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,MTCC138,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,MTCC149,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
not applicable,MTCC1039,not applicable,not applicable,vortexing,27±2°C,1 min,not specified,not applicable,PCR amplification performed
