type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,3.0,39.84%,Optimum decolorization at pH 5.0
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,4.0,71.56%,Optimum decolorization at pH 5.0
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,5.0,86.34%,Optimum decolorization
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,6.0,69.56%,Optimum decolorization at pH 5.0
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,7.0,51.42%,Optimum decolorization at pH 5.0
Orange II,Phanerochaete chrysosporium,100 mg/l,not specified,shaking,30°C,7 days,5.0,85%,Observed maximum removal on 5th day
Orange II,Phanerochaete chrysosporium,150 mg/l,not specified,shaking,30°C,7 days,5.0,Decreased removal,Observed maximum removal on 5th day
Orange II,Phanerochaete chrysosporium,200 mg/l,not specified,shaking,30°C,7 days,5.0,Decreased removal,Observed maximum removal on 5th day
Orange II,Phanerochaete chrysosporium,250 mg/l,not specified,shaking,30°C,7 days,5.0,Decreased removal,Observed maximum removal on 5th day
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,24°C,7 days,5.0,Decreased after 30°C,Maximum degradation observed between 28-30°C
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,26°C,7 days,5.0,Decreased after 30°C,Maximum degradation observed between 28-30°C
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,28°C,7 days,5.0,Decreased after 30°C,Maximum degradation observed between 28-30°C
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,5.0,Decreased after 30°C,Maximum degradation observed between 28-30°C
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,32°C,7 days,5.0,Decreased after 30°C,Maximum degradation observed between 28-30°C
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,34°C,7 days,5.0,Decreased after 30°C,Maximum degradation observed between 28-30°C
