type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Malachite Green,Pleurotus eryngii,10 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,47.2%,Decolorization rate decreases with increase in MG concentration.
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,94.3%,Decolorization efficiency observed at different temperatures.
Malachite Green,Pleurotus eryngii,30 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,90.2%,Decolorization efficiency observed at different temperatures.
Malachite Green,Pleurotus eryngii,50 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,Decreased efficiency at high concentrations.,Initial velocity increases from 0.47 to 0.64 mg-MG/g-cell/h.
Malachite Green,Pleurotus eryngii,100 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,2.32%,High concentration may have toxic effect on mycelium.
Malachite Green,Pleurotus eryngii,150 mg/L,10.0 g/L,shaking,25°C,120 min,7.0,2.32%,High concentration may have toxic effect on mycelium.
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,30°C,120 min,6.0,97.4%,Optimum pH for decolorization.
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,20°C,120 min,7.0,Increased rate at higher temperatures.,Temperature over 50°C decreased decolorization rate.
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,50°C,120 min,7.0,Steady decolorization rate.,Temperature effect on decolorization rate.
Malachite Green,Pleurotus eryngii,20 mg/L,10.0 g/L,shaking,55°C,120 min,7.0,Decreased decolorization rate.,Higher temperatures inhibit decolorization.
Malachite Green,Pleurotus eryngii,100 µg/L,Zebrafish larvae,N/A,28°C,96 h,N/A,Liver damage observed.,Toxicity of degradation products assessed.
Malachite Green,Pleurotus eryngii,100 µg/L,Zebrafish larvae,N/A,28°C,96 h,N/A,Reduced liver damage after degradation.,Toxicity of degradation products assessed.
