type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,13 days,not specified,complete decolorization,Delayed decolorization due to complex dye structure
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,11 days,not specified,complete decolorization,Rapid decolorization
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,11 days,not specified,complete decolorization,Rapid decolorization
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,3 discs (10mm diameter),static,27°C,11 days,not specified,complete decolorization,Rapid decolorization
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Black B,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Golden Yellow HR,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Violet 5R,Phanerochaete chrysosporium,50 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Red HE8B,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Black B,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Golden Yellow HR,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Violet 5R,Phanerochaete chrysosporium,100 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Red HE8B,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Black B,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Golden Yellow HR,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Violet 5R,Phanerochaete chrysosporium,250 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Red HE8B,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Black B,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Golden Yellow HR,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Violet 5R,Phanerochaete chrysosporium,500 mg/L,3 discs (10mm diameter),static,27°C,not specified,not specified,not specified,Time required for decolorization increased with concentration
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,1 disc (10mm diameter),static,27°C,not specified,not specified,not specified,Inoculum size affects decolorization rate
