type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Malachite Green,Trametes versicolor,7 mg/l,not specified,none,28 °C,20 days,not specified,95%,Induced with 0.5 mM copper sulfate
Bromothymol Blue,Trametes versicolor,50 mg/l,not specified,none,28 °C,20 days,not specified,95%,Induced with 0.5 mM copper sulfate
Malachite Green,Fomes fomentarius,7 mg/l,not specified,none,28 °C,20 days,not specified,70%,Induced with 0.5 mM copper sulfate
Bromothymol Blue,Fomes fomentarius,50 mg/l,not specified,none,28 °C,20 days,not specified,70%,Induced with 0.5 mM copper sulfate
Methyl Red,Trametes versicolor,100 mg/l,not specified,none,28 °C,20 days,not specified,80%,Induced with 0.5 mM copper sulfate
Methyl Red,Fomes fomentarius,100 mg/l,not specified,none,28 °C,20 days,not specified,80%,Induced with 0.5 mM copper sulfate
Crystal Violet,Trametes versicolor,20 mg/l,not specified,none,28 °C,20 days,not specified,low,Induced with 0.5 mM copper sulfate
Methylene Blue,Trametes versicolor,240 mg/l,not specified,none,28 °C,20 days,not specified,low,Induced with 0.5 mM copper sulfate
Crystal Violet,Fomes fomentarius,20 mg/l,not specified,none,28 °C,20 days,not specified,low,Induced with 0.5 mM copper sulfate
Methylene Blue,Fomes fomentarius,240 mg/l,not specified,none,28 °C,20 days,not specified,low,Induced with 0.5 mM copper sulfate
