type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Crystal Violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,91%,Initial concentration decolorization was rapid
Methyl Violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,94%,Initial concentration decolorization was rapid
Malachite Green,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,96%,Initial concentration decolorization was rapid
Cotton Blue,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,24 h,not specified,93%,Initial concentration decolorization was rapid
Crystal Violet,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,72%,DE declined with increasing initial dye concentration
Methyl Violet,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,81%,DE declined with increasing initial dye concentration
Malachite Green,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,90%,DE declined with increasing initial dye concentration
Cotton Blue,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,not specified,70%,DE declined with increasing initial dye concentration
Crystal Violet,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,27%,Static condition less effective than shaking
Methyl Violet,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,47%,Static condition less effective than shaking
Malachite Green,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,58%,Static condition less effective than shaking
Cotton Blue,Bjerkandera adusta SWUSI4,200 mg L-1,2 g,static,30 °C,14 days,not specified,not specified,Static condition less effective than shaking
