type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Disperse Blue 64,Aspergillus flavus,50 mg/L,N/A,static,30°C,48 h,7.0,96.7%,Experiment conducted in triplicate
Acid Yellow 17,Aspergillus flavus,50 mg/L,N/A,static,30°C,48 h,7.0,90.1%,Experiment conducted in triplicate
Disperse Blue 64,Aspergillus flavus,300 mg/L,N/A,static,30°C,48 h,7.0,30.3%,Experiment conducted in triplicate
Acid Yellow 17,Aspergillus flavus,300 mg/L,N/A,static,30°C,48 h,7.0,4.6%,Experiment conducted in triplicate
Disperse Blue 64,Aspergillus flavus,50 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,>99%,Consortium showed enhanced degradation
Acid Yellow 17,Aspergillus flavus,50 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,>99%,Consortium showed enhanced degradation
Disperse Blue 64,Aspergillus flavus,300 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,55.2%,Consortium showed reduced degradation compared to lower concentration
Acid Yellow 17,Aspergillus flavus,300 mg/L,Pseudomonas aeruginosa,static,30°C,48 h,7.0,57.6%,Consortium showed reduced degradation compared to lower concentration
Methyl Red,Aspergillus flavus,50 µM,Pseudomonas aeruginosa,N/A,N/A,N/A,7.5,3.14 U/mg protein,Highest azoreductase specific activity recorded
Disperse Blue 64,Aspergillus flavus,50 µM,Pseudomonas aeruginosa,N/A,N/A,N/A,7.0,1.7 U/mg protein,Azoreductase activity measured
Acid Yellow 17,Aspergillus flavus,50 µM,Pseudomonas aeruginosa,N/A,N/A,N/A,7.0,0.97 U/mg protein,Azoreductase activity measured
