type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Reactive blue,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,39% color remaining,Decolorization monitored at 560 nm
Reactive blue,Polyporus rubidus,400 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,20% color remaining,Decolorization monitored at 560 nm
Reactive blue,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,90% decolorization,Decolorization monitored at 560 nm
Reactive orange,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,40% color remaining,Decolorization monitored at 430 nm
Reactive orange,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,92% decolorization,Decolorization monitored at 430 nm
Ramazol black,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,26% color remaining,Decolorization monitored at 560 nm
Ramazol black,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,3 days,4-7,Complete decolorization,Decolorization monitored at 560 nm
Congo red,Polyporus rubidus,100 mg/l,1 g wet weight,shaking,28 + 2 °C,3 days,4-7,Complete decolorization,Decolorization monitored at 490 nm
Congo red,Polyporus rubidus,1000 mg/l,1 g wet weight,shaking,28 + 2 °C,5 days,4-7,Not specified,Decolorization monitored at 490 nm
Effluent sample 1,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,4 days,Not specified,100% decolorization,Decolorization monitored for 8 days
Effluent sample 2,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,5 days,Not specified,20% color remaining,Decolorization monitored for 8 days
Effluent sample 3,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,4 days,Not specified,100% decolorization,Decolorization monitored for 8 days
Effluent sample 4,Polyporus rubidus,Not specified,Not specified,Not specified,28 + 2 °C,5 days,Not specified,30% color remaining,Decolorization monitored for 8 days
