type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Amaranth,Trametes versicolor,50 ppm,not specified,agitated,30°C,24 hours,5.0,complete,lag period of approximately 24 hours before complete decoloration
Remazol Black B,Trametes versicolor,60 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred rapidly after initial lag
Remazol Orange,Trametes versicolor,60 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred with no visual sorption
Reactive Blue,Trametes versicolor,20 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred rapidly
Tropaeolin O,Trametes versicolor,20 ppm,not specified,agitated,30°C,24 hours,5.0,complete,decolorization occurred with significant activity
mixture (Remazol Orange + Remazol Black + Reactive Blue),Trametes versicolor,30 ppm each,not specified,agitated,30°C,48 hours,5.0,complete,maintained high rates of decoloration
Amaranth,Trametes versicolor,50 ppm,not specified,fed-batch,30°C,6 hours,5.0,complete,decoloration restored after glucose replenishment
Remazol Black,Trametes versicolor,60 ppm,not specified,fed-batch,30°C,48 hours,5.0,complete,decoloration achieved without decrease in rate
Amaranth,Trametes versicolor,50 ppm,not specified,N-limited batch,30°C,48 hours,5.0,complete,"lag period observed, indicating induction of decoloration factors"
Amaranth,Trametes versicolor,50 ppm,not specified,N-rich batch,30°C,48 hours,5.0,limited,substantial mycelial sorption observed
Amaranth,Trametes versicolor,50 ppm,not specified,cell-free supernatant,30°C,24 hours,5.0,none,indicates need for biomass for decoloration
Amaranth,Trametes versicolor,50 ppm,not specified,resuspended biomass,30°C,24 hours,5.0,complete,demonstrates reusability of biomass for decoloration
