type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Neolane yellow,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,18%,Decolorization with HBT: 100% after 24h
Neolane yellow,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,39.6%,Decolorization with HBT: 100% after 24h
Maxillon blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,0%,Decolorization with HBT: 15.14%
Maxillon blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,0%,Decolorization with HBT: 35.3%
Neolane pink,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,63.6%,nd (not determined)
Neolane pink,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,86.4%,nd (not determined)
Basacryl yellow,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,10 days,5,0%,nd (not determined)
Neolane blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,91.5%,nd (not determined)
Neolane blue,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,91.2%,nd (not determined)
Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,1 day,5,54%,nd (not determined)
Bezaktiv S-BF turquoise,Trametes trogii,50 mg l−1,not specified,rotary shaker,30°C,4 days,5,71%,nd (not determined)
