type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
orange G,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30 °C,9 days,not specified,33.3%,Mycelial growth recorded.
congo red,Thelephora sp.,50 µM,10^5 spores/ml,shaking,30 °C,8 h,not specified,97.1%,Mycelial growth recorded.
amido black 10B,Thelephora sp.,25 µM,10^5 spores/ml,shaking,30 °C,24 h,not specified,98.8%,Mycelial growth recorded.
orange G,laccase,50 µM,15 U/ml,not specified,not specified,not specified,not specified,19%,Enzymatic treatment with laccase.
orange G,LiP,50 µM,15 U/ml,not specified,not specified,not specified,4.5,13.5%,Enzymatic treatment with LiP.
orange G,MnP,50 µM,15 U/ml,not specified,not specified,not specified,4.5,10.8%,Enzymatic treatment with MnP.
congo red,laccase,50 µM,5 U/ml,not specified,not specified,not specified,not specified,12.0%,Enzymatic treatment with laccase.
amido black 10B,laccase,25 µM,5 U/ml,not specified,not specified,not specified,not specified,15.0%,Enzymatic treatment with laccase.
dye industry effluent,Thelephora sp.,not specified,10^5 spores/ml,batch mode,39 °C,3 days,4.5,61%,Batch mode treatment.
dye industry effluent,Thelephora sp.,not specified,10^5 spores/ml,continuous mode,39 °C,7 days,4.5,50%,Continuous mode treatment.
dye industry effluent,laccase,not specified,15 U/ml,not specified,not specified,1 h,7.0,15%,Enzymatic treatment.
