type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Synazol red HF-6BN,Aspergillus niger,not specified,not specified,not specified,not specified,24 d,not specified,88.0%,Ilyas and Rehman (2013)
Synazol red HF-6BN,Nigrospora sp.,not specified,not specified,not specified,not specified,24 d,not specified,96.0%,Ilyas and Rehman (2013)
Congo red,Oudemansiella canarii,not specified,not specified,not specified,not specified,60 h,not specified,80.0%,Iark et al. (2019)
Remazol blue,Peurotus florida,not specified,not specified,not specified,not specified,72 h,not specified,94.6%,Montiague et al. (2020)
Direct Blue-1,Aspergillus terreus,not specified,not specified,not specified,not specified,168 h,not specified,98.4%,Singh and Dwivedi (2020)
Disperse red 1,Aspergillus fumigatus,not specified,not specified,not specified,not specified,not specified,not specified,85.0%,Ameen et al. (2021)
Acid Blue 29,Aspergillus flavus,not specified,not specified,not specified,not specified,not specified,not specified,86.0%,Ameen et al. (2021)
Reactive blue 4,Trametes hirsute D7,not specified,not specified,not specified,not specified,not specified,not specified,90.0%,Alam et al. (2021)
Acid blue 12,Trametes hirsute D7,not specified,not specified,not specified,not specified,not specified,not specified,90.0%,Alam et al. (2021)
Synozol Red HF-6BN,Aspergillus nidulans,not specified,not specified,not specified,not specified,not specified,not specified,96.0%,Khan et al. (2020)
