type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
none,Trametes versicolor,none,0.102 ± 0.002 g,rotatory shaker,28ºC,10 days,4.5,none,Growth curves for Trametes versicolor in TaK and TDM media at 28 and 35ºC.
none,Trametes versicolor,none,0.102 ± 0.002 g,rotatory shaker,35ºC,10 days,4.5,none,Growth curves for Trametes versicolor in TaK and TDM media at 28 and 35ºC.
none,Trametes versicolor,0.04 g/L,none,none,28ºC,none,none,none,Maximum laccase activity (U/L) with solid lignin.
none,Trametes versicolor,0.20 g/L,none,none,28ºC,none,none,none,Maximum laccase activity (U/L) with solid lignin.
none,Trametes versicolor,0.40 g/L,none,none,28ºC,none,none,1240 U/L,Best result for laccase induction.
none,Trametes versicolor,2.0 g/L,none,none,28ºC,none,none,912 U/L,Maximum laccase activity with lignin.
none,Trametes versicolor,0.034 g/L,none,none,28ºC,none,none,192 U/L,Maximum laccase activity with ligninosulphonates.
none,Trametes versicolor,0.086 g/L,none,none,28ºC,none,none,224 U/L,Maximum laccase activity with ligninosulphonates.
none,Trametes versicolor,0.17 g/L,none,none,28ºC,none,none,270 U/L,Maximum laccase activity with ligninosulphonates.
none,Trametes versicolor,0.34 g/L,none,none,28ºC,none,none,148 U/L,Maximum laccase activity with ligninosulphonates.
none,Trametes versicolor,10 µM,none,none,28ºC,none,none,573 U/L,Maximum laccase activity with xylidine.
none,Trametes versicolor,15 µM,none,none,28ºC,none,none,912 U/L,Maximum laccase activity with xylidine.
none,Trametes versicolor,30 µM,none,none,28ºC,none,none,1583 U/L,Maximum laccase activity with xylidine.
none,Trametes versicolor,50 µM,none,none,28ºC,none,none,1040 U/L,Maximum laccase activity with xylidine.
none,Trametes versicolor,0.050 mM,none,none,28ºC,none,none,47 U/L,Maximum laccase activity with veratryl alcohol.
none,Trametes versicolor,1 mM,none,none,28ºC,none,none,79 U/L,Maximum laccase activity with veratryl alcohol.
none,Trametes versicolor,2 mM,none,none,28ºC,none,none,345 U/L,Maximum laccase activity with veratryl alcohol.
none,Trametes versicolor,4 mM,none,none,28ºC,none,none,33 U/L,Maximum laccase activity with veratryl alcohol.
