type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Orange II,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,3 days,5,90% color removal,Buffer concentration at 10 mM
Acid Red 29,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,3 days,5,Significant reduction in color,Buffer concentration at 10 mM
Remazol Brilliant Blue R,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,3 days,5,Significant reduction in color,Buffer concentration at 10 mM
Disperse Red 1,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,7 days,N/A,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified
Disperse Red 19,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,7 days,N/A,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified
Disperse Orange 1,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,7 days,N/A,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified
Disperse Orange 25,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,7 days,N/A,"Nitrobenzene, 4-nitrophenol, 4-nitroaniline produced",Primary degradation products identified
Disperse Red 13,Pleurotus ostreatus,100 ppm,N/A,shaking,30°C,7 days,N/A,"1-chloro-3-nitrobenzene, 2-chloro-4-nitroaniline produced",Primary degradation products identified
4-nitrophenol,Pleurotus ostreatus,25 ppm,N/A,shaking,30°C,7 days,N/A,90% degradation observed,"Secondary products include 4-nitroanisole, 2,4-dinitrophenol"
4-nitroaniline,Pleurotus ostreatus,25 ppm,N/A,shaking,30°C,7 days,N/A,40% degradation observed,"Degradation products included nitrobenzene, 4-nitrophenol, 4-nitroanisole"
