type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Corn stover and Banana stalk,Schyzophyllum commune,1270000 U,11.3-fold,not specified,not specified,not specified,not specified,not specified,Yasmeen et al. (2013)
"Glucose, Yeast extract, Malt extract",Pleurotus ostreatus,906000 U,10.8-fold,not specified,not specified,not specified,not specified,not specified,Periasamy and Palvannan (2010)
Nut shell and Cyanobacteria biomass,Coriolus versicolor MTCC138,163000 U,12.6-fold,not specified,not specified,not specified,not specified,not specified,Mishra et al. (2008)
"Glucose, Ammonium tartate, Tween 80",Phellinus noxius hpF17,780 U,11.4-fold,not specified,not specified,not specified,not specified,not specified,Poojary and Mugeray (2012)
Barley,T. hirusta,25889 U,11.8-fold,not specified,not specified,not specified,not specified,not specified,Bakkiyaraj et al. (2013)
"Rice bran, Wheat bran and Corn husk",Rigidoporous sp.,4.25 U,13.5-fold,not specified,not specified,not specified,not specified,not specified,Sridah et al. (2012)
Wheat bran,Fomes fomentarius,150 U,12.3-fold,not specified,not specified,not specified,not specified,not specified,Niefar et al. (2011)
Nut shell and Cyanobacteria biomass,WRF-1,352 U,11.3-fold,not specified,not specified,not specified,not specified,not specified,Kumar and Mishra (2011)
Barley,Coriolus sp.,2661 U,16.5-fold,not specified,not specified,not specified,not specified,not specified,Mathur et al. (2013)
Pyrogallol,Cerrena unicolor,151600 U,12.5-fold,not specified,not specified,not specified,not specified,not specified,Elisashvili et al. (2010)
TNT,T. versicolor,8400 U,12.8-fold,not specified,not specified,not specified,not specified,not specified,not specified
Copper,Coprinus comatus,150 U,13.4-fold,not specified,not specified,not specified,not specified,not specified,Lu and Ding (2010)
Manganese,Coprinus comatus,225 U,14.4-fold,not specified,not specified,not specified,not specified,not specified,Lu and Ding (2010)
Caﬀeic acid,Coprinus comatus,188 U,13.3-fold,not specified,not specified,not specified,not specified,not specified,Lu and Ding (2010)
Copper,Pleurotus ostreatus,8000 U,14.0-fold,not specified,not specified,not specified,not specified,not specified,Tinoco et al. (2011)
Copper + lignin,Pleurotus ostreatus,12000 U,110-fold,not specified,not specified,not specified,not specified,not specified,Tinoco et al. (2011)
Ferulic acid and vanillin,P. plumonarius,250000 U,110-fold,not specified,not specified,not specified,not specified,not specified,D’souza (2004)
Grey Lanaset (GLG) and Alizarin Red (AR),T. versicolor,1200 U,17.0-fold,not specified,not specified,not specified,not specified,not specified,Casas et al. (2013)
Copper,G. applanatum,18830 U,149.2-fold,not specified,not specified,not specified,not specified,not specified,Fonseca et al. 2010
Copper,Peniophora sp,27132 U,119.7-fold,not specified,not specified,not specified,not specified,not specified,not specified
