type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Congo Red,T. virens (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,94%,Used HgCl2 to kill the mycelium
Congo Red,T. virens (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,93%,Used HgCl2 to kill the mycelium
Congo Red,T. viride (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,95%,Used HgCl2 to kill the mycelium
Congo Red,T. viride (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,not mentioned,Used HgCl2 to kill the mycelium
Malachite Green,T. virens (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,87%,Used HgCl2 to kill the mycelium
Malachite Green,T. virens (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,95%,Used HgCl2 to kill the mycelium
Malachite Green,T. viride (dead biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,82%,Used HgCl2 to kill the mycelium
Malachite Green,T. viride (living biomass),50 mg L−1,not mentioned,shaking,28 ± 2 °C,8 days,6,75%,Used HgCl2 to kill the mycelium
Congo Red,T. virens (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,88%,Higher removal than activated carbon
Malachite Green,T. virens (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,not mentioned,Similar removal to activated carbon
Congo Red,T. viride (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,not mentioned,Higher removal than activated carbon
Malachite Green,T. viride (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,not mentioned,Similar removal to activated carbon
