type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Cibacron Red C-2G,Coriolus versicolor,500 mg/L,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Coriolus versicolor grew well in SSF with thick mycelial growth.
Remazol Navy Blue GG,Coriolus versicolor,500 mg/L,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Coriolus versicolor grew well in SSF without inhibition by dye chemicals.
Remazol Red RB,Coriolus versicolor,500 mg/L,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Coriolus versicolor produced fungal biomass with protein content during SSF.
Cibacron Red C-2G,Bjerkandera adusta,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,53%,SSF performed at a moisture content of 80-85%.
Cibacron Orange,Bjerkandera adusta,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Bjerkandera adusta reported to decolorize synthetic dye.
Remazol Navy Blue,Bjerkandera adusta,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Bjerkandera adusta showed ability to grow on dye-adsorbed substrates.
Remazol Red,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Produced mycelial growth during SSF.
Cibacron Yellow C-2R,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Effectiveness in SSF was studied.
Cibacron Blue C-R,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Produced enzymes responsible for dye degradation.
Cibacron Red C-2G,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,53.6% in N-rich medium,Enzyme production was stimulated by nitrogen supplementation.
