type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization
Reactive Red 198,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 21,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization
Reactive Blue 214,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,1 day,not specified,not specified,Visual observation of decolorization
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,2 days,not specified,not specified,Visual observation of decolorization
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,5 days,not specified,not specified,Visual observation of decolorization
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,7 days,not specified,not specified,Visual observation of decolorization
Mixture,Penicillium simplicissimum,not specified,not specified,not specified,not specified,14 days,not specified,not specified,Visual observation of decolorization
